TaID,SiteID,GroupID,Sex,Birth_Year,Death_Year
Lauren,Old_North_End_Cemetery,9,M,1935,1998
Lauren,Old_North_End_Cemetery,9,M,1901,1973
Lauren,Old_North_End_Cemetery,9,M,1903,1985
Lauren,Old_North_End_Cemetery,9,F,1905,1998
Lauren,Old_North_End_Cemetery,10,M,1854,1897
Lauren,Old_North_End_Cemetery,10,F,1856,1937
Lauren,Old_North_End_Cemetery,10,M,1885,1887
Lauren,Old_North_End_Cemetery,10,F,1890,1897
Lauren,Old_North_End_Cemetery,10,M,1866,1927
Lauren,Old_North_End_Cemetery,10,M,1865,1900
Lauren,Old_North_End_Cemetery,10,M,1836,1920
Lauren,Old_North_End_Cemetery,10,F,1839,1922
Lauren,Old_North_End_Cemetery,10,M,1834,1904
Lauren,Old_North_End_Cemetery,10,F,1834,1924
Lauren,Old_North_End_Cemetery,10,F,1860,1917
Lauren,Old_North_End_Cemetery,10,M,1857,1899
Lauren,Old_North_End_Cemetery,10,F,1859,1924
Lauren,Old_North_End_Cemetery,10,F,1886,1913
Lauren,Old_North_End_Cemetery,10,F,1843,1911
Lauren,Old_North_End_Cemetery,10,M,1864,1901
Lauren,Old_North_End_Cemetery,10,F,1884,1912
Lauren,Old_North_End_Cemetery,10,M,1891,1903
Lauren,Old_North_End_Cemetery,10,M,1859,1935
Lauren,Old_North_End_Cemetery,10,F,1861,1931
Lauren,Old_North_End_Cemetery,10,M,1849,1926
Lauren,Old_North_End_Cemetery,10,F,1852,1929
Lauren,Old_North_End_Cemetery,10,M,1825,1911
Lauren,Old_North_End_Cemetery,10,F,1827,1908
Lauren,Old_North_End_Cemetery,10,M,1865,1925
Lauren,Old_North_End_Cemetery,10,F,1926,2002
Lauren,Old_North_End_Cemetery,10,M,1925,1992
Lauren,Old_North_End_Cemetery,10,F,1876,1957
Lauren,Old_North_End_Cemetery,10,F,1872,1949
Lauren,Old_North_End_Cemetery,10,F,1870,1936
Lauren,Old_North_End_Cemetery,10,M,1877,1940
Lauren,Old_North_End_Cemetery,10,M,1883,1968
Lauren,Old_North_End_Cemetery,10,F,1892,1976
Lauren,Old_North_End_Cemetery,10,F,1870,1952
Lauren,Old_North_End_Cemetery,10,M,1895,1914
Lauren,Old_North_End_Cemetery,10,M,1883,1974
Lauren,Old_North_End_Cemetery,10,F,1875,1951
Lauren,Old_North_End_Cemetery,10,M,1885,1968
Lauren,Old_North_End_Cemetery,10,F,1884,1965
Lauren,Old_North_End_Cemetery,10,M,1863,1953
Lauren,Old_North_End_Cemetery,10,F,1858,1946
Lauren,Old_North_End_Cemetery,10,M,1907,1909
Lauren,Old_North_End_Cemetery,10,F,1869,1945
